A1,27,514
A1,28,119
A1,26,103
A1,29,117
A1,25,0
A1,22,515
A1,23,99
A1,21,115
A1,24,111
A1,20,0
A1,17,512
A1,18,108
A1,16,114
A1,19,101
A1,15,0
A1,12,513
A1,13,298
A1,11,297
A1,14,299
A1,10,0
A1,7,550
A1,8,46
A1,6,44
A1,9,59
A1,5,0
A1,2,540
A1,3,0
A1,1,0
A1,4,0
A1,0,0
A1,37,338
A1,38,336
A1,36,335
A1,39,337
A1,35,0
A1,42,331
A1,43,330
A1,41,333
A1,44,334
A1,40,0
A1,32,113
A1,33,120
A1,31,118
A1,34,122
A1,30,0
A1,72,518
A1,71,121
A1,73,102
A1,74,109
A1,70,0
A1,67,519
A1,66,110
A1,68,100
A1,69,105
A1,65,0
A1,62,516
A1,61,97
A1,63,104
A1,64,116
A1,60,0
A1,57,517
A1,56,296
A1,58,32
A1,59,127
A1,55,0
A1,52,551
A1,51,92
A1,53,47
A1,54,45
A1,50,0
A1,47,542
A1,46,0
A1,48,0
A1,49,0
A1,45,0
A1,82,0
A1,81,0
A1,83,0
A1,84,0
A1,80,0
A1,87,0
A1,86,0
A1,88,0
A1,89,0
A1,85,0
A1,77,112
A1,76,106
A1,78,107
A1,79,98
A1,75,0
A2,27,514
A2,28,0
A2,26,0
A2,29,0
A2,25,0
A2,22,515
A2,23,0
A2,21,0
A2,24,0
A2,20,0
A2,17,512
A2,18,0
A2,16,0
A2,19,0
A2,15,0
A2,12,513
A2,13,298
A2,11,297
A2,14,299
A2,10,0
A2,7,550
A2,8,0
A2,6,0
A2,9,0
A2,5,0
A2,2,0
A2,3,0
A2,1,0
A2,4,0
A2,0,0
A2,37,0
A2,38,0
A2,36,0
A2,39,0
A2,35,0
A2,42,0
A2,43,0
A2,41,0
A2,44,0
A2,40,0
A2,32,0
A2,33,0
A2,31,0
A2,34,0
A2,30,0
A2,72,518
A2,71,55
A2,73,57
A2,74,56
A2,70,0
A2,67,519
A2,66,52
A2,68,54
A2,69,53
A2,65,0
A2,62,516
A2,61,49
A2,63,51
A2,64,50
A2,60,0
A2,57,517
A2,56,296
A2,58,32
A2,59,127
A2,55,0
A2,52,551
A2,51,0
A2,53,0
A2,54,0
A2,50,0
A2,47,0
A2,46,0
A2,48,0
A2,49,0
A2,45,0
A2,82,0
A2,81,0
A2,83,0
A2,84,0
A2,80,0
A2,87,0
A2,86,0
A2,88,0
A2,89,0
A2,85,0
A2,77,48
A2,76,0
A2,78,0
A2,79,0
A2,75,0
A3,27,0
A3,28,61
A3,26,96
A3,29,124
A3,25,0
A3,22,0
A3,23,54
A3,21,52
A3,24,53
A3,20,0
A3,17,0
A3,18,51
A3,16,49
A3,19,50
A3,15,0
A3,12,321
A3,13,322
A3,11,320
A3,14,323
A3,10,0
A3,7,324
A3,8,0
A3,6,325
A3,9,0
A3,5,0
A3,2,126
A3,3,0
A3,1,92
A3,4,0
A3,0,0
A3,37,0
A3,38,0
A3,36,0
A3,39,0
A3,35,0
A3,42,0
A3,43,0
A3,41,0
A3,44,0
A3,40,0
A3,32,0
A3,33,0
A3,31,0
A3,34,0
A3,30,0
A3,72,0
A3,71,61
A3,73,63
A3,74,0
A3,70,0
A3,67,0
A3,66,317
A3,68,319
A3,69,318
A3,65,0
A3,62,0
A3,61,314
A3,63,316
A3,64,315
A3,60,0
A3,57,321
A3,56,320
A3,58,322
A3,59,323
A3,55,0
A3,52,324
A3,51,325
A3,53,0
A3,54,0
A3,50,0
A3,47,0
A3,46,0
A3,48,0
A3,49,0
A3,45,0
A3,82,0
A3,81,0
A3,83,0
A3,84,0
A3,80,0
A3,87,0
A3,86,0
A3,88,0
A3,89,0
A3,85,0
A3,77,0
A3,76,0
A3,78,0
A3,79,0
A3,75,0
